common_id,syu_2009,syu_2012,syu_2014,syu_2017,ykn_2009,ykn_2010,ykn_2012,ykn_2013,ykn_2014,ykn_2016,カテゴリ,質問項目１,質問項目２,回答欄,備考1,備考2,朝日項目名
q83,,Q6_2,Q7_2,Q5_1,,Q022802,Q013102,Q021301,W1Q17_2,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 社会的格差が多少あっても、いまは経済競争力の向上を優先すべきだ　B: 経済競争力を多少犠牲にしても、いまは社会的格差の是正を優先すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,経済競争力vs.社会的格差是正
q84,,Q6_6,,,,,Q013106,Q021303,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 電力に占める原子力発電の比率を、2030 年代までに0%にすべきだ　B: 2030 年代より後も、原子力発電は電力源のひとつとして保つべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q85,,,Q7_6,Q5_3,,,,,W1Q17_6,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: いますぐ原子力発電を廃止すべきだ　B: 将来も原子力発電は電力源のひとつとして保つべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,原発廃止vs.維持
q86,,Q6_7,,,,,Q013107,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 現状の政治資金に関する規制は厳し過ぎる　B: 政治資金に関する規制をもっと厳しくすべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q87,,Q6_8,,,,,Q013108,,,W2Q20_5,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国会の第一義的な役割は、与野党が議論を闘わせ、国民に対して争点の所在や政党間の立場の違いを示すことにある　B: 国会の第一義的な役割は、与野党が意見を調整して、なるべく多くの国民の意思を法律に反映させることにある,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q88,,Q6_9,,,,,Q013109,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国会での採決時、政党はなるべく党議拘束をかけて、所属議員が全員一致して行動することが望ましい　B: 国会での採決時、政党はなるべく党議拘束を外して、所属議員がそれぞれ判断して行動することが望ましい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q89,,,Q7_8,Q5_4,,,,Q021305,W1Q17_8,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国債は安定的に消化されており，財政赤字を心配する必要はない　B: 財政赤字は危機的水準であるので，国債発行を抑制すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,財政赤字と国債発行
q90,,,Q7_9,,,,,,W1Q17_9,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: ヘイトスピーチは表現の自由を逸脱するものであり，法律で規制すべきだ　B: ヘイトスピーチの是非は別として，法的規制については慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q91,,,,Q5_5,,,,,W1Q17_10,W2Q20_4,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 民間による技術・経営革新を促すため、経済的規制の緩和を徹底すべきだ　B: 既存産業や消費者保護のため、経済的規制の緩和には慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,量的緩和政策継続
q92,,,,,,,,Q021304,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 地方の教育行政は、首長が任免する教育長が責任者となるべきだ　B: 地方の教育行政は、合議制の教育委員会が責任を果たすべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q93,,,,,,,,,,W2Q20_1,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 憲法とは、主として国家権力を制限するために定めるものである　B: 憲法とは、主として国のあり方や理想を掲げるためのものである,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q94,,,,,,,,,,W2Q20_6,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。, A: 与党所属の参議院議員は、入閣はせず第二院として独自の役割を担うべきだ　B: 与党所属の参議院議員も、入閣して政権運営を積極的に支えるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
